mcc_code,description,bill,merchant
5631,Women's Accessory and Specialty Stores,,1
5641,Children's and Infants' Wear Stores,,1
5651,Family Clothing Stores,,1
5655,Sports and Riding Apparel Stores,,1
5661,Shoe Stores,,1
5681,Furriers & Fur Shops,,1
5691,Men's and Women's Clothing Stores,,1
5697,"Tailors, Seamstresses, Mending, Alterations?",,1
5698,Wig & Toupee Shops,,1
5699,Miscellaneous Apparel and Accessory Stores,,1
5712,"Furniture, Home Furnishings, and Equipment Stores, except Appliances",,1
5713,"Floor coverings, Rugs",,1
5714,"Drapery, Window Covering, and Upholstery Stores",,1
5718,"Fireplaces, Fireplace Screens and Accessories Stores?",,1
5719,Miscellaneous Home Furnishing Specialty Stores,,1
5722,Household Appliance Stores,,1
5732,Electronics Stores,,1
5733,"Music Stores-Musical Instruments, Pianos, and Sheet Music",,1
5734,Computer Software Stores,,1
5735,Record Stores,,1
5811,Caterers - Prepare & Delivery,,1
5812,Eating Places and Restaurants,,1
5813,"Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques",,1
5814,Quick Payment Service-Fast Food Restaurants,,1
5815,"Digital Goods ÿ Media, Books, Movies, Music  ",,1
5816,Digital Goods ÿ Games  ,,1
5817,Digital Goods ÿ Applications (Excludes Games)  ,,1
5818,Large Digital Goods Merchant  ,,1
5912,Drug Stores and Pharmacies,,1
5921,"Package Stores--Beer, Wine, and Liquor",,1
5931,Used Merchandise and Secondhand Stores,,1
5932,Antique Shop,,1
5933,Pawn Shop,,1
5935,Wrecking and Salvage Yards,,1
5937,Antique Reproduction Stores,,1
5940,Bicycle Shop-Sales and Services,,1
5941,Sporting Goods Stores,,1
5942,Book Stores,,1
5943,"Stationery, Office and School Supply Stores",,1
5944,"Jewelry, Watch, Clock, and Silverware Stores",,1
5945,"Hobby, Toy and Game Stores",,1
5946,Camera and Photographic Supply Stores,,1
5947,"Gift, Card, Novelty, and Souvenir Stores",,1
5948,Luggage and Leather Goods Stores,,1
5949,"Sewing, Needlework, Fabric, and Piece Good Stores?",,1
5950,Glassware and Crystal Stores,,1
5960,Direct Marketing Insurance Services,,1
5961,Mail Order,,1
5962,Direct Marketing -- Travel Related Arrangement Services,,1
5963,Direct Selling Establishments/Door to Door Sales?,,1
5964,Catalog Merchant,,1
5965,Combined Catalog and Retail Merchant,,1
5966,Outbound Telemarketing Merchant,,1
5967,Direct Marketing -- Inbound Telemarketing Merchants,,1
5968,Continuity/Subscription Merchants,,1
5969,Direct Marketing/Direct Marketers--Not Elsewhere Classified,,1
5970,Artist Supply and Craft Stores,,1
5971,Art Dealers and Galleries,,1
5972,Stamp and Coin Stores,,1
5973,Religious Goods Stores,,1
5975,"Hearing Aids--Sales, Service, and Supplies",,1
5976,Orthopedic Goods and Prosthetic Devices,,1
5977,Cosmetic Stores,,1
5978,"Typewriter Stores--Sales, Service, and Rentals",,1
5983,"Fuel Dealers--Fuel Oil, Wood, Coal, and Liquefied Petroleum",,1
5992,Florists,,1
5993,Cigar Stores & Stands,,1
5994,News Dealers & Newsstands,,1
5995,"Pet Shops, Pet Food, and Supplies",,1
